รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.
11,ภูเก็ต,โรงพยาบาลสถานพยาบาลเวชกรรมทั่วไปภาวนาภูเก็ต,NULL,28851,เอกชน,รพ.เอกชน
4,นนทบุรี,สถานพยาบาลเลอลักษณ์ศัลยกรรมตกแต่ง,LELUK PLASTIC SURGERY HOSPITAL,28852,เอกชน,รพ.เอกชน
2,สุโขทัย,สถานพยาบาลเวชกรรมหมออาคม,NULL,28853,เอกชน,รพ.เอกชน
6,ชลบุรี,สถานพยาบาลอมตะเวชกรรม,NULL,28854,เอกชน,รพ.เอกชน
5,ราชบุรี,โรงพยาบาลบ้านคา,NULL,28858,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
8,เลย,โรงพยาบาลหนองหิน,NONGHIN HOSPITAL,28861,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,นนทบุรี,สถานพยาบาลบางบัวทอง 2,BANGBUATHONG HOSPITAL 2,28875,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
8,สกลนคร,โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสานด้านมะเร็ง สกลนคร อโรคยศาล วัดคำประมง,NULL,28879,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),กรมพัฒนาการแพทย์ไทยและการแพทย์ทางเลือก
7,ขอนแก่น,โรงพยาบาลกรุงเทพขอนแก่น,BANGKOK HOSPITAL KHON KAEN,31156,เอกชน,รพ.เอกชน
11,นครศรีธรรมราช,โรงพยาบาลเฉลิมพระเกียรติ,CHALERMPRAKIAT HOSPITAL,40491,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
12,นราธิวาส,กัลยาณิวัฒนาการุณย์,GALYANIVADHANAKARUN HOSPITAL,40497,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ
1,เชียงใหม่,โรงพยาบาลโรงพยาบาลทั่วไปขนาดกลางกรุงเทพเชียงใหม่,BANGKOK HOSPITAL CHIANGMAI,40540,เอกชน,รพ.เอกชน
2,ตาก,โรงพยาบาลนครแม่สอด อินเตอร์เนชั่นแนล,NAKORNMAESOT INTERNATIONAL HOSPITAL,40741,เอกชน,รพ.เอกชน
6,ชลบุรี,โรงพยาบาลวิภาราม อมตะนครโรงพยาบาลทั่วไปขนาดใหญ่,VIBHARAM AMATANAKORN HOSPITAL,40750,เอกชน,รพ.เอกชน
13,กรุงเทพมหานคร,สถานพยาบาลบางปะกอก9เวชกรรมทั่วไป,NULL,40754,เอกชน,รพ.เอกชน
6,ระยอง,โรงพยาบาลศรีระยอง,SRI RAYONG HOSPITAL,40757,เอกชน,รพ.เอกชน
4,นนทบุรี,โรงพยาบาลทั่วไปขนาดใหญ่เกษมราษฎร์ รัตนาธิเบศร์,KARUNVEJ RATTANATIBETH,40765,เอกชน,รพ.เอกชน
6,ชลบุรี,โรงพยาบาลสมิติเวช ชลบุรี,SAMITIVEJ CHONBURI  HOSPITAL,40768,เอกชน,รพ.เอกชน
